dt,age_cd,sex_cd,home_sido_nm,h0d0h0_dur_r,h0d0h1_dur_r,h0d1h0_dur_r,h0d1h1_dur_r,h1d0h0_dur_r,h1d0h1_dur_r,h1d1h0_dur_r,h1d1h1_dur_r
20181112,NULL,NULL,?겸뫗猿뚪겫怨룸즲,0.16168264,0.836523385,0.446195563,0.55202493,0.210350077,0.788881335,0.386679616,0.612577114
20181119,30,NULL,NULL,0.187586316,0.812317516,0.537872987,0.462029387,0.218930481,0.781026972,0.375346279,0.624610591
20181119,50,NULL,NULL,0.178816665,0.821099659,0.529644217,0.470269519,0.187035694,0.81292405,0.398684634,0.601275972
20181119,0,NULL,NULL,0.058399255,0.936966632,0.112837516,0.882544509,0.127650827,0.860283806,0.211559672,0.77643951
20181119,70,NULL,NULL,0.107011419,0.892123941,0.312344607,0.686797189,0.111217678,0.888329619,0.252397382,0.747173516
20181119,NULL,NULL,?겸뫗猿뚪겫怨룸즲,0.157655654,0.841638894,0.443312641,0.555987306,0.217178583,0.782072774,0.383866935,0.615386221
20181119,NULL,NULL,?袁⑥뵬??ㅻ즲,0.171580159,0.828104277,0.454630222,0.545047966,0.205291864,0.794206672,0.38104917,0.618449365
20181119,10,NULL,NULL,0.106681173,0.892961422,0.304929161,0.694709532,0.147598798,0.852223336,0.261076984,0.738742362
20181119,20,NULL,NULL,0.202106301,0.797618403,0.489529068,0.510191882,0.262210764,0.737709567,0.381603282,0.61831246
20181119,NULL,NULL,?紐꾩쪒?諛명?癒?뒄??0.17382733184590285,0.816189876,0.475145784,0.514793205,0.227184952,0.767017012,0.392202464,0.601901725,
20181119,NULL,NULL,?袁⑥뵬?브낮猷?0.164917655,0.834758353,0.457695622,0.54197869,0.197442063,0.802091456,0.371659642,0.627872181,
20181119,NULL,NULL,NULL,0.167206062,0.832516627,0.477305812,0.522415789,0.191222406,0.808449749,0.357341467,0.642332973
20181119,NULL,NULL,野껋럡由??0.17192686083532951,0.828071069,0.500496644,0.499501286,0.189261407,0.810735488,0.354518633,0.645478261,
20181119,NULL,NULL,???袁㏉굝????0.157384097,0.842088687,0.456947831,0.54251887,0.206404389,0.792190379,0.373234154,0.625374809,
20181119,NULL,NULL,??뽰뒻?諛명??0.16158591726447635,0.838392568,0.481516268,0.518462218,0.174085039,0.825870635,0.325366477,0.674589456,
20181119,NULL,NULL,?紐꾩퓝?용쵐肉??0.17420812530306518,0.825601088,0.495756377,0.504052836,0.188397488,0.81138364,0.35111028,0.648668911,
20181119,40,NULL,NULL,0.179942915,0.8199903,0.55078533,0.449147886,0.190811582,0.809159722,0.377581891,0.622389152
20181119,60,NULL,NULL,0.149646859,0.850170974,0.429606245,0.570210656,0.157360801,0.842539962,0.349590361,0.650315993
20181119,NULL,2,NULL,0.137649425,0.862083676,0.415057976,0.584674345,0.16955408,0.830131993,0.330184642,0.669503325
20181119,NULL,NULL,揶쏅벡???0.1670331745734313,0.832604892,0.44560002,0.554041721,0.205025138,0.794322647,0.359742862,0.639606761,
20181119,NULL,NULL,?紐꾧텦?용쵐肉??0.17460086250420334,0.823600251,0.462960896,0.53522159,0.206133225,0.792703885,0.386169192,0.612678562,
20181119,NULL,NULL,野껋럩湲썽겫怨룸즲,0.16105595,0.838772801,0.443425663,0.556404193,0.20053769,0.799129756,0.374361861,0.625305585
20181119,NULL,NULL,???닌덊굝????0.154520336,0.845309352,0.468664024,0.531165664,0.17508049,0.824604158,0.358855218,0.640823936,
20181119,NULL,1,NULL,0.195390608,0.804322153,0.536663952,0.463047427,0.211884836,0.787774048,0.383237606,0.616423934
20181119,NULL,NULL,?용쵐竊쒏꽴臾믩열??0.16691369712655507,0.832746084,0.484639843,0.515021647,0.188524691,0.810943609,0.364176672,0.635289919,
20181119,NULL,NULL,?봔?怨뚰굝????0.162309473,0.837391341,0.454039325,0.545658213,0.186638381,0.812973988,0.355948516,0.643670404,
20181119,NULL,NULL,??뽳폒?諛명?癒?뒄??0.1878748421796122,0.809814747,0.497882781,0.499806808,0.208270645,0.789689362,0.424117766,0.573861217,
20181119,NULL,NULL,野껋럩湲??ㅻ즲,0.169533279,0.830302285,0.463393649,0.536445451,0.201507883,0.798142911,0.378816681,0.62087036
20181119,NULL,NULL,?겸뫗猿??ㅻ즲,0.183911589,0.815501927,0.473763434,0.525642981,0.225208087,0.774158566,0.390928436,0.608432537
20181126,NULL,NULL,野껋럩湲??ㅻ즲,0.169145175,0.830603839,0.4626861,0.537070839,0.200830899,0.798221518,0.379031636,0.620041036
20181126,NULL,NULL,野껋럩湲썽겫怨룸즲,0.160543134,0.839308929,0.4420732,0.557779967,0.202321506,0.79640226,0.382799648,0.61592743
20181126,NULL,NULL,?袁⑥뵬??ㅻ즲,0.1693313,0.830409425,0.453092921,0.546643118,0.203318815,0.794766299,0.38417447,0.613920015
20181126,NULL,2,NULL,0.138163779,0.861548629,0.414903055,0.584808243,0.16650319,0.832275044,0.330208737,0.668572496
20181126,NULL,NULL,?袁⑥뵬?브낮猷?0.16267986,0.83704688,0.456996427,0.54273201,0.19510679,0.802707128,0.37737488,0.620437341,
20181126,NULL,1,NULL,0.196148191,0.803546772,0.537110805,0.462583204,0.211745052,0.787222693,0.390059711,0.60891047
20181126,0,NULL,NULL,0.058299425,0.936834219,0.114138143,0.881003562,0.121983377,0.852134378,0.206095807,0.768102561
20181126,NULL,NULL,野껋럡由??0.17096672078139505,0.829031834,0.500404997,0.499593557,0.188003728,0.811982848,0.361648371,0.638338205,
20181126,NULL,NULL,???袁㏉굝????0.174656828,0.824916207,0.463586119,0.535984883,0.199293047,0.797073688,0.365287626,0.63113197,
20181126,NULL,NULL,??뽰뒻?諛명??0.16362149795537914,0.836362697,0.482385893,0.517598301,0.173894388,0.825991606,0.331328426,0.668558864,
20181126,NULL,NULL,?紐꾩퓝?용쵐肉??0.17610112392560137,0.823705606,0.496973397,0.502833333,0.186364433,0.812669219,0.352796261,0.646236434,
20181126,NULL,NULL,?겸뫗猿뚪겫怨룸즲,0.166149801,0.832839242,0.44327671,0.555699962,0.200752128,0.796496021,0.364413813,0.632846708
20181126,NULL,NULL,?용쵐竊쒏꽴臾믩열??0.16534520954573942,0.834267693,0.485236833,0.514374365,0.187322967,0.810608535,0.370921623,0.627011584,
20181126,NULL,NULL,?봔?怨뚰굝????0.164122399,0.835559382,0.45643913,0.543240486,0.187240708,0.811706139,0.352031963,0.646908389,
20181126,NULL,NULL,??뽳폒?諛명?癒?뒄??0.189907568772419,0.807365743,0.501100713,0.496172599,0.202833648,0.789288727,0.422043998,0.570083102,
20181126,40,NULL,NULL,0.181030877,0.818901521,0.550586165,0.449345453,0.189670813,0.810253266,0.381708953,0.618214865
20181126,60,NULL,NULL,0.150522863,0.849239096,0.428270426,0.571490605,0.158300962,0.841080038,0.363236238,0.636148937
20181126,NULL,NULL,NULL,0.167840655,0.831862824,0.477449939,0.522252511,0.189658329,0.809216898,0.360840934,0.638037004
20181126,NULL,NULL,?겸뫗猿??ㅻ즲,0.173475808,0.82616191,0.468834365,0.530799107,0.222601861,0.775145195,0.392593078,0.605155393
20181126,NULL,NULL,???닌덊굝????0.15347733,0.846353544,0.46678809,0.533041685,0.17360668,0.825152327,0.357911975,0.640844836,
20181126,NULL,NULL,?紐꾩쪒?諛명?癒?뒄??0.17068961211577444,0.824049281,0.473044782,0.521645397,0.220155522,0.763905273,0.389079173,0.594962137,
20181126,30,NULL,NULL,0.188858242,0.811050229,0.538182526,0.461725365,0.218605762,0.781290215,0.378798357,0.621098492
20181126,50,NULL,NULL,0.179820977,0.820103145,0.528847938,0.471075039,0.188549361,0.811332097,0.408841911,0.591040121
20181126,70,NULL,NULL,0.107491053,0.891500322,0.311237809,0.687756778,0.110611361,0.882277942,0.265364753,0.727557742
20181126,10,NULL,NULL,0.105031668,0.894575634,0.307802191,0.691799001,0.138914441,0.860380147,0.24836825,0.750921339
20181126,20,NULL,NULL,0.202186436,0.79754046,0.49077119,0.508954459,0.257059989,0.742604139,0.375134334,0.624523558
20181126,NULL,NULL,揶쏅벡???0.17257970891203608,0.827070803,0.446104734,0.553549458,0.205072857,0.79226184,0.376760901,0.620571957,
20181126,NULL,NULL,?紐꾧텦?용쵐肉??0.1776411168288546,0.818649556,0.464846306,0.531421086,0.204681561,0.791479776,0.378734112,0.617401358,
20181203,20,NULL,NULL,0.198131478,0.801441074,0.483715109,0.515855778,0.247829501,0.752095581,0.358942796,0.640976042
20181203,30,NULL,NULL,0.186224497,0.813641453,0.533024521,0.466839684,0.213621163,0.786341617,0.36066604,0.639296158
20181203,NULL,NULL,野껋럩湲??ㅻ즲,0.164248477,0.835025043,0.447982921,0.551285291,0.192647323,0.807099604,0.362817524,0.636936482
20181203,NULL,NULL,?겸뫗猿??ㅻ즲,0.173204982,0.825205037,0.459197404,0.539214035,0.209183109,0.790196515,0.359475558,0.639909744
20181203,NULL,NULL,野껋럩湲썽겫怨룸즲,0.158008535,0.841066403,0.429495104,0.569580943,0.188995061,0.810699912,0.352445276,0.647253025
20181203,NULL,2,NULL,0.134258433,0.86472402,0.407486044,0.591495298,0.160399173,0.839309083,0.310392021,0.689322345
20181203,NULL,NULL,?紐꾩퓝?용쵐肉??0.17405746117344584,0.825123309,0.490790907,0.508390818,0.182722251,0.817080103,0.331619775,0.668183533,
20181203,NULL,NULL,NULL,0.164042414,0.835027836,0.466981846,0.532087589,0.183008177,0.816686228,0.338412782,0.661286235
20181203,NULL,NULL,??뽰뒻?諛명??0.15861993858164433,0.841304094,0.473676151,0.52624814,0.16850537,0.831450035,0.311446176,0.688509228,
