,dt,h0d0h0_dur_r,h0d0h1_dur_r,h0d1h0_dur_r,h0d1h1_dur_r,h1d0h0_dur_r,h1d0h1_dur_r,h1d1h0_dur_r
548,20190311,0.827625526,0.490502328,0.50873048,0.175125157,0.82452037,0.366134731,0.633510796
549,20190311,0.17651609,0.823452531,0.549811499,0.450157122,0.17274053,0.827238878,0.369461759
550,20190311,0.10072772,0.89863159,0.311128611,0.688230698,0.105504929,0.894284351,0.27342888
551,20190311,0.837779883,0.481681554,0.517942283,0.169134582,0.830691653,0.368221601,0.631604634
552,20190311,0.824853903,0.473779612,0.525260332,0.184262421,0.814902918,0.361792091,0.637373248
553,20190311,0.230218309,0.769545062,0.514277982,0.485485388,0.24973003,0.750204611,0.367228482
554,20190311,0.202028359,0.797603001,0.545129249,0.454502013,0.200623822,0.799154955,0.387592772
555,20190311,0.192821432,0.806672695,0.488560202,0.510933924,0.209421347,0.790276904,0.390766207
556,20190311,0.831665012,0.502523379,0.497467736,0.171083204,0.828912057,0.352203773,0.647791488
557,20190311,0.820689648,0.470598495,0.528686588,0.188567465,0.811100787,0.375722208,0.623946044
558,20190311,0.182147316,0.817490616,0.484904966,0.514732966,0.192153751,0.807702049,0.385939872
559,20190311,0.178120596,0.821215591,0.465943036,0.53339315,0.194861657,0.80472057,0.370029229
560,20190318,0.181894469,0.817957363,0.476198263,0.523653568,0.216267024,0.783304794,0.392214924
561,20190318,0.179792409,0.820174516,0.536532766,0.463434159,0.18055947,0.819408248,0.407576045
562,20190318,0.834536037,0.482640488,0.517099688,0.175620276,0.823960008,0.360338815,0.639241469
563,20190318,0.17951978,0.820394838,0.480602427,0.519312191,0.206524218,0.793272118,0.394769214
564,20190318,0.166449776,0.833341791,0.453479149,0.546312418,0.197237356,0.802252228,0.369956137
565,20190318,0.165930218,0.833937182,0.479681671,0.520185729,0.181788425,0.817969769,0.358170596
566,20190318,0.814736676,0.49136492,0.506937161,0.193399935,0.804666838,0.413599471,0.584467301
567,20190318,0.841403537,0.47781361,0.522070801,0.170284222,0.829515227,0.364525275,0.635274174
568,20190318,0.8391963,0.457998127,0.54164815,0.185548538,0.813419609,0.358462026,0.640506121
569,20190318,0.827255291,0.474435806,0.522644648,0.208300308,0.787401234,0.385368312,0.61033323
570,20190318,0.173683224,0.826089632,0.454353737,0.545419119,0.19825786,0.80136552,0.384145779
571,20190318,0.049266775,0.946670322,0.102198611,0.893738486,0.114534413,0.874896631,0.204666211
572,20190318,0.834879616,0.489352678,0.510543338,0.185927084,0.81390523,0.351254274,0.64857804
573,20190318,0.827677818,0.473969895,0.525925166,0.184720855,0.815055109,0.364166231,0.635609734
574,20190318,0.111705069,0.888174174,0.323197402,0.676681841,0.135635726,0.864215976,0.252811909
575,20190318,0.843163498,0.481870607,0.518113692,0.16094375,0.839015034,0.323252744,0.676706041
576,20190318,0.176679077,0.823298635,0.547986696,0.451991015,0.176813209,0.823164257,0.368839158
577,20190318,0.103449389,0.896319689,0.315100557,0.684668522,0.108901069,0.890810918,0.27011938
578,20190318,0.195819117,0.80403642,0.538308624,0.461546913,0.204557403,0.795190228,0.38713069
579,20190318,0.199625688,0.800255703,0.483975978,0.515905413,0.250446616,0.749488581,0.366832619
580,20190318,0.836240478,0.497705547,0.502291096,0.172908597,0.827086862,0.350375111,0.649620348
581,20190318,0.832678639,0.459285159,0.540453508,0.190455941,0.809148751,0.373217295,0.626387398
582,20190318,0.186017173,0.81394423,0.539708153,0.46025325,0.211522062,0.788444488,0.375271498
583,20190318,0.835819349,0.435906428,0.563849636,0.194871285,0.804637332,0.365324957,0.63418366
584,20190318,0.817821817,0.478921272,0.52059454,0.198069976,0.801232096,0.386318722,0.61298335
585,20190318,0.171737485,0.828139676,0.457064306,0.542812856,0.212701291,0.787048902,0.393355542
586,20190318,0.134441066,0.865438833,0.417915828,0.58196407,0.157800395,0.841968927,0.327659978
587,20190318,0.151011639,0.848938632,0.44005448,0.559895791,0.158580441,0.841354437,0.374430225
588,20190325,0.169257615,0.830647987,0.483234375,0.516671227,0.186551248,0.813195006,0.360103655
589,20190325,0.813474265,0.500124783,0.498456023,0.194765353,0.803468744,0.412868431,0.585365667
590,20190325,0.198949974,0.80094504,0.541520469,0.458374544,0.208426125,0.791301087,0.386942015
591,20190325,0.190632978,0.809334134,0.543604107,0.456363005,0.21512132,0.784848365,0.376444152
592,20190325,0.181903031,0.818015355,0.460603344,0.539315043,0.209640446,0.790114712,0.391407929
593,20190325,0.054002443,0.943555309,0.105965445,0.891592306,0.119630411,0.868696063,0.209122418
594,20190325,0.198747498,0.801168826,0.480104131,0.519812194,0.256301615,0.743646923,0.372742536
595,20190325,0.821157819,0.497415667,0.502525248,0.171476138,0.828330661,0.336901258,0.662905541
596,20190325,0.83390278,0.501123191,0.498875427,0.177495885,0.822499773,0.349711655,0.650284003
597,20190325,0.832198977,0.463547318,0.536244291,0.227083278,0.772499939,0.406258264,0.593324953
598,20190325,0.841450803,0.485223832,0.514764143,0.164060478,0.835888724,0.322892175,0.677057027
599,20190325,0.137983153,0.861933601,0.421842612,0.578074142,0.163510808,0.836255503,0.331835263
600,20190325,0.839249968,0.435951044,0.5638876,0.198414188,0.801043867,0.360366589,0.639091465
601,20190325,0.815077865,0.480768828,0.518884213,0.204656312,0.794673775,0.393576549,0.605751355
602,20190325,0.192190175,0.807753385,0.487046327,0.512897233,0.219204604,0.780607262,0.404707535
603,20190325,0.165360446,0.834500106,0.45588142,0.543979132,0.202489862,0.79696383,0.369604737
604,20190325,0.109822609,0.890087823,0.317786642,0.68212379,0.145778021,0.854074642,0.261203409
605,20190325,0.82350263,0.477673285,0.522265047,0.190609505,0.809145491,0.371001082,0.628753914
606,20190325,0.821682571,0.480636782,0.517117461,0.220416965,0.774921387,0.388683101,0.606663758
607,20190325,0.179102794,0.820774298,0.474911904,0.524965188,0.22154494,0.778009832,0.393386892
608,20190325,0.175149157,0.824701403,0.460391881,0.539458679,0.212834164,0.786799562,0.397864693
609,20190325,0.181347349,0.818632811,0.553789265,0.446190894,0.180740298,0.819238637,0.369761106
610,20190325,0.109063028,0.890717141,0.324335066,0.675445103,0.113489091,0.88629619,0.270810937
611,20190325,0.839208928,0.478787952,0.521147833,0.173635733,0.826132105,0.369080594,0.630687244
612,20190325,0.840485999,0.460220819,0.539513181,0.18905554,0.809800268,0.358384867,0.640470941
613,20190325,0.155839549,0.844106776,0.447676661,0.552269664,0.162958355,0.836963895,0.373938422
614,20190325,0.833259898,0.486025784,0.513817586,0.179274606,0.820275498,0.367203738,0.632346365
615,20190325,0.184073462,0.815903516,0.542291967,0.45768501,0.184171693,0.815802903,0.407173251
616,20190401,0.191603243,0.80831932,0.546822866,0.453099698,0.21970649,0.780262132,0.390697762
617,20190401,0.182490336,0.817466569,0.556981606,0.442975298,0.184840774,0.815140756,0.382461768
618,20190401,0.82378118,0.479489713,0.519838916,0.187832127,0.811930672,0.363512171,0.636250628
619,20190401,0.175555663,0.823576369,0.459999579,0.539132454,0.215560572,0.784209702,0.404036037
620,20190401,0.17767957,0.821055192,0.475452026,0.523282736,0.224080864,0.775582328,0.412132023
